train_corpus;test_corpus;features;metric;value;std
mysMEEI;mysMEEI;spectral_11;precision;0.863623145815474;0.01550543494587364
mysMEEI;mysMEEI;spectral_11;recall;0.9401785714285714;0.01643924342814461
mysMEEI;mysMEEI;spectral_11;f1;0.900162916430655;0.012370592429164978
mysMEEI;mysMEEI;spectral_11;auc;0.9128075396825396;0.010591545080486986
mysMEEI;mysMEEI;combined_11;accuracy;0.8754347826086957;0.01714637307540086
mysMEEI;mysMEEI;combined_11;precision;0.877022587554513;0.020586513483374116
mysMEEI;mysMEEI;combined_11;recall;0.9257142857142862;0.012807443626457934
mysMEEI;mysMEEI;combined_11;f1;0.9005572906412306;0.012946786652389158
mysMEEI;mysMEEI;combined_11;auc;0.9443452380952383;0.007784696368096939
mysMEEI;mysMEEI;sep_11_raw;accuracy;0.8916304347826088;0.016228446517473884
mysMEEI;mysMEEI;sep_11_raw;precision;0.8900831488219262;0.018514284512028578
mysMEEI;mysMEEI;sep_11_raw;recall;0.9382142857142859;0.012479575149754375
mysMEEI;mysMEEI;sep_11_raw;f1;0.9134049238813372;0.012523305215466428
mysMEEI;mysMEEI;sep_11_raw;auc;0.958050595238095;0.00490457518699277
mysMEEI;mysMEEI;sep_11_a01;accuracy;0.8945652173913046;0.012629293520241572
mysMEEI;mysMEEI;sep_11_a01;precision;0.8994930289105793;0.014694620759512368
mysMEEI;mysMEEI;sep_11_a01;recall;0.9310714285714288;0.011013674246506615
mysMEEI;mysMEEI;sep_11_a01;f1;0.9149288904952434;0.009873728557295496
mysMEEI;mysMEEI;sep_11_a01;auc;0.9540823412698411;0.00615489454625116
mysMEEI;mysMEEI;sep_11_a02;accuracy;0.8880434782608698;0.01446101597353268
mysMEEI;mysMEEI;sep_11_a02;precision;0.8895327750594544;0.018770802143741952
mysMEEI;mysMEEI;sep_11_a02;recall;0.9323214285714287;0.009876469149303437
mysMEEI;mysMEEI;sep_11_a02;f1;0.9102972788143471;0.0108891403833406
mysMEEI;mysMEEI;sep_11_a02;auc;0.950530753968254;0.006837633442623176
mysMEEI;mysMEEI;spectral_12;accuracy;0.8738043478260872;0.013995594094723953
mysMEEI;mysMEEI;spectral_12;precision;0.862694544634241;0.014573205827436549
mysMEEI;mysMEEI;spectral_12;recall;0.9430357142857142;0.012549646307724347
mysMEEI;mysMEEI;spectral_12;f1;0.9009936058369641;0.010675185141178068
mysMEEI;mysMEEI;spectral_12;auc;0.9187251984126982;0.009666480296620678
mysMEEI;mysMEEI;combined_12;accuracy;0.8778260869565219;0.014347826086956518
mysMEEI;mysMEEI;combined_12;precision;0.8770213141880191;0.01579230101903745
mysMEEI;mysMEEI;combined_12;recall;0.9300000000000002;0.01375811448875587
mysMEEI;mysMEEI;combined_12;f1;0.9026268736694817;0.011187606170000211
mysMEEI;mysMEEI;combined_12;auc;0.9459176587301588;0.008010092591565942
mysMEEI;mysMEEI;sep_12_raw;accuracy;0.9051086956521742;0.015589775986585218
mysMEEI;mysMEEI;sep_12_raw;precision;0.9016301160013183;0.01724404045046202
mysMEEI;mysMEEI;sep_12_raw;recall;0.9478571428571427;0.014436702093862663
mysMEEI;mysMEEI;sep_12_raw;f1;0.9240493336044338;0.01223123466257378
mysMEEI;mysMEEI;sep_12_raw;auc;0.9614831349206346;0.004293684145008801
mysMEEI;mysMEEI;sep_12_a01;accuracy;0.9047826086956523;0.011308527655339082
mysMEEI;mysMEEI;sep_12_a01;precision;0.9064780986128886;0.014093997226648303
mysMEEI;mysMEEI;sep_12_a01;recall;0.9408928571428572;0.009680811548878406
mysMEEI;mysMEEI;sep_12_a01;f1;0.9232859154477349;0.00878606577794293
mysMEEI;mysMEEI;sep_12_a01;auc;0.9576785714285714;0.005865721687661944
mysMEEI;mysMEEI;sep_12_a02;accuracy;0.8975000000000002;0.013856457619802257
mysMEEI;mysMEEI;sep_12_a02;precision;0.8947626918491451;0.017089724032435638
mysMEEI;mysMEEI;sep_12_a02;recall;0.9428571428571427;0.009105391988558526
mysMEEI;mysMEEI;sep_12_a02;f1;0.9180878487560602;0.010547674850956016
mysMEEI;mysMEEI;sep_12_a02;auc;0.9546428571428571;0.006659517614296635
mysMEEI;mysMEEI;spectral_13;accuracy;0.874021739130435;0.013671044145021353
mysMEEI;mysMEEI;spectral_13;precision;0.860989979996294;0.01448852768485836
mysMEEI;mysMEEI;spectral_13;recall;0.9460714285714283;0.012872015207814355
mysMEEI;mysMEEI;spectral_13;f1;0.9014324688257414;0.010358839611840658
mysMEEI;mysMEEI;spectral_13;auc;0.9194196428571427;0.008600502469233589
mysMEEI;mysMEEI;combined_13;accuracy;0.8863043478260871;0.012715068535556305
mysMEEI;mysMEEI;combined_13;precision;0.8807050878555767;0.016056283069344805
mysMEEI;mysMEEI;combined_13;recall;0.9410714285714286;0.011434150423987212
mysMEEI;mysMEEI;combined_13;f1;0.9097665251350706;0.009588130870143154
mysMEEI;mysMEEI;combined_13;auc;0.9504910714285714;0.0075049111403250384
mysMEEI;mysMEEI;sep_13_raw;accuracy;0.9067391304347828;0.01719866130984216
mysMEEI;mysMEEI;sep_13_raw;precision;0.902951664218525;0.02025654924051678
mysMEEI;mysMEEI;sep_13_raw;recall;0.9492857142857141;0.013533782372497442
mysMEEI;mysMEEI;sep_13_raw;f1;0.9254007539656592;0.013335422067029807
mysMEEI;mysMEEI;sep_13_raw;auc;0.9618700396825396;0.004018564385137812
mysMEEI;mysMEEI;sep_13_a01;accuracy;0.9036956521739132;0.012584309250788085
mysMEEI;mysMEEI;sep_13_a01;precision;0.9052505285757649;0.015767396837038164
mysMEEI;mysMEEI;sep_13_a01;recall;0.9405357142857141;0.01011887254750511
mysMEEI;mysMEEI;sep_13_a01;f1;0.9224626268031703;0.009735557221501146
mysMEEI;mysMEEI;sep_13_a01;auc;0.9579712301587301;0.005260207936295754
mysMEEI;mysMEEI;sep_13_a02;accuracy;0.8955434782608698;0.015053072462065808
mysMEEI;mysMEEI;sep_13_a02;precision;0.8909455993863218;0.019173688657468328
mysMEEI;mysMEEI;sep_13_a02;recall;0.9444642857142855;0.008335671440702708
mysMEEI;mysMEEI;sep_13_a02;f1;0.9168108802061967;0.011300875885751302
mysMEEI;mysMEEI;sep_13_a02;auc;0.9549503968253967;0.005916467385634006
mysMEEI;mysMEEI;spectral_14;accuracy;0.8728260869565219;0.015410268346475887
mysMEEI;mysMEEI;spectral_14;precision;0.8576168160482806;0.01583345500883005
mysMEEI;mysMEEI;spectral_14;recall;0.9489285714285712;0.012881920569193885
mysMEEI;mysMEEI;spectral_14;f1;0.9008730946329113;0.011597995262029757
mysMEEI;mysMEEI;spectral_14;auc;0.9191021825396823;0.008557114082928686
mysMEEI;mysMEEI;combined_14;accuracy;0.882608695652174;0.012952581834579322
mysMEEI;mysMEEI;combined_14;precision;0.8761048200071937;0.016416458697076645
mysMEEI;mysMEEI;combined_14;recall;0.9405357142857141;0.009798674941656368
